,Franchise,Film,date
743,Underworld,Underworld: Evolution,2006
744,Underworld,Underworld: Rise of the Lycans,2009
745,Underworld,Underworld Awakening,2012
746,Underworld,Underworld: Blood Wars,2017
747,The Godfather,The Godfather,1972
748,The Godfather,The Godfather Part II,1974
749,The Godfather,The Godfather Part III,1990
750,The Expendables,The Expendables,2010
751,The Expendables,The Expendables 2,2012
752,The Expendables,The Expendables 3,2014
753,The Expendables,Expend4bles,2023
754,Maze Runner,The Maze Runner,2014
755,Maze Runner,Maze Runner: The Scorch Trials,2015
756,Maze Runner,Maze Runner: The Death Cure,2018
757,Scooby-Doo,Scooby-Doo,2002
758,Scooby-Doo,Scooby-Doo 2: Monsters Unleashed,2004
759,Scooby-Doo,Scoob!,2021
760,Dumb and Dumber,Dumb & Dumber,1994
761,Dumb and Dumber,Dumb and Dumberer: When Harry Met Lloyd,2003
762,Dumb and Dumber,Dumb and Dumber To,2014
763,Police Academy,Police Academy,1984
764,Police Academy,Police Academy 2: Their First Assignment,1985
765,Police Academy,Police Academy 3: Back in Training,1986
766,Police Academy,Police Academy 4: Citizens on Patrol,1987
767,Police Academy,Police Academy 5: Assignment: Miami Beach,1988
768,Police Academy,Police Academy 6: City Under Siege,1989
769,Police Academy,Police Academy: Mission to Moscow,1994
770,Ring (US) Ring,The Ring,2002
771,Ring (US) Ring,The Ring Two,2005
772,Ring (US) Ring,Rings,2017
773,Barbershop,Barbershop,2002
774,Barbershop,Barbershop 2: Back in Business,2004
775,Barbershop,Barbershop: The Next Cut,2016
776,Barbershop,Beauty Shop,2005
777,Trolls,Trolls,2016
778,Trolls,Trolls World Tour,2020
779,Trolls,Trolls Band Together,2023
780,Fallen,Olympus Has Fallen,2013
781,Fallen,London Has Fallen,2016
782,Fallen,Angel Has Fallen,2019
783,Dirty Harry,Dirty Harry,1971
784,Dirty Harry,Magnum Force,1973
785,Dirty Harry,The Enforcer,1976
786,Dirty Harry,Sudden Impact,1983
787,Dirty Harry,The Dead Pool,1988
788,Big Momma,Big Momma's House,2000
789,Big Momma,Big Momma's House 2,2006
790,Big Momma,"Big Mommas: Like Father, Like Son",2011
791,Billy Jack,The Born Losers,1967
792,Billy Jack,Billy Jack,1971
793,Billy Jack,The Trial of Billy Jack,1974
794,Billy Jack,Billy Jack Goes to Washington,1977
795,Billy Jack,The Return of Billy Jack   (unreleased and unfinished),1986
796,Mad Max Mad Max (Original),Mad Max,1979
797,Mad Max Mad Max (Original),"Mad Max 2 (1981, Australia) (aka The Road Warrior  )",1982
798,Mad Max Mad Max (Original),Mad Max Beyond Thunderdome,1985
799,Mad Max Mad Max (Original),Mad Max: Fury Road,2015
800,The Naked Gun,The Naked Gun: From the Files of Police Squad!,1988
801,The Naked Gun,The Naked Gun 2 1/2: The Smell of Fear,1991
802,The Naked Gun,The Naked Gun 33 1/3: The Final Insult,1994
803,Rugrats,The Rugrats Movie,1998
804,Rugrats,Rugrats in Paris: The Movie,2000
805,Rugrats,Rugrats Go Wild,2003
806,Step Up,Step Up,2006
807,Step Up,Step Up 2 the Streets,2008
808,Step Up,Step Up 3-D,2010
809,Step Up,Step Up Revolution,2012
810,Step Up,Step Up All In,2014
811,xXx Trilogy,XXX,2002
812,xXx Trilogy,XXX: State of the Union,2005
813,xXx Trilogy,xXx: The Return of Xander Cage,2017
814,Winnie the Pooh,The Many Adventures of Winnie the Pooh,1977
815,Winnie the Pooh,The Tigger Movie,2000
816,Winnie the Pooh,Piglet's Big Movie,2003
817,Winnie the Pooh,Pooh's Heffalump Movie,2005
818,Winnie the Pooh,Winnie the Pooh,2011
819,Winnie the Pooh,Disney's Christopher Robin,2018
820,Magic Mike,Magic Mike,2012
821,Magic Mike,Magic Mike XXL,2015
822,Magic Mike,Magic Mike's Last Dance,2023
823,Blade,Blade,1998
824,Blade,Blade II,2002
825,Blade,Blade: Trinity,2004
826,Herbie the Love Bug,The Love Bug,1969
827,Herbie the Love Bug,Herbie Rides Again,1974
828,Herbie the Love Bug,Herbie Goes to Monte Carlo,1977
829,Herbie the Love Bug,Herbie Goes Bananas,1980
830,Herbie the Love Bug,Herbie: Fully Loaded,2005
831,Herbie the Love Bug,The Love Bug,1997
832,Texas Chainsaw Massacre,The Texas Chain Saw Massacre,1974
833,Texas Chainsaw Massacre,The Texas Chainsaw Massacre 2,1986
834,Texas Chainsaw Massacre,Leatherface: Texas Chainsaw Massacre III,1990
835,Texas Chainsaw Massacre,"Return of the Texas Chainsaw Massacre   (aka Texas Chainsaw
            Massacre: The Next Generation)",1994
836,Texas Chainsaw Massacre,The Texas Chainsaw Massacre,2003
837,Texas Chainsaw Massacre,The Texas Chainsaw Massacre: The Beginning,2006
838,Texas Chainsaw Massacre,Texas Chainsaw 3-D,2013
839,Texas Chainsaw Massacre,Leatherface,2017
840,Texas Chainsaw Massacre,Texas Chainsaw Massacre,2022
841,Smokey and the Bandit,Smokey and the Bandit,1977
842,Smokey and the Bandit,Smokey and the Bandit II,1980
843,Smokey and the Bandit,Smokey and the Bandit Part 3,1983
844,Look Who's Talking,Look Who's Talking,1989
845,Look Who's Talking,Look Who's Talking Too,1990
846,Look Who's Talking,Look Who's Talking Now,1993
847,Shazam!,Shazam!,2019
848,Shazam!,Shazam! Fury of the Gods,2023
849,Garry Marshall's Holiday-Themed Series,Valentine's Day,2010
850,Garry Marshall's Holiday-Themed Series,New Year's Eve,2011
851,Garry Marshall's Holiday-Themed Series,Mother's Day,2016
852,Agatha Christie,Murder on the Orient Express,2017
853,Agatha Christie,Death on the Nile,2022
854,Agatha Christie,A Haunting in Venice,2023
855,Airport,Airport,1970
856,Airport,Airport 1975,1974
857,Airport,Airport '77,1977
858,Airport,The Concorde...Airport '79,1979
859,Blair Witch,The Blair Witch Project,1999
860,Blair Witch,Book of Shadows: Blair Witch 2,2000
861,Blair Witch,Blair Witch,2016
862,Legally Blonde,Legally Blonde,2001
863,Legally Blonde,"Legally Blonde 2: Red, White & Blonde",2003
864,Legally Blonde,Legally Blondes,2009
865,Diary of a Wimpy Kid,Diary of a Wimpy Kid,2010
866,Diary of a Wimpy Kid,Diary of a Wimpy Kid: Rodrick Rules,2011
867,Diary of a Wimpy Kid,Diary of a Wimpy Kid: Dog Days,2012
868,Diary of a Wimpy Kid,Diary of a Wimpy Kid: The Long Haul,2017
869,Ace Ventura,Ace Ventura: Pet Detective,1994
870,Ace Ventura,Ace Ventura: When Nature Calls,1995
871,Poltergeist,Poltergeist,1982
872,Poltergeist,Poltergeist II: The Other Side,1986
873,Poltergeist,Poltergeist III,1988
874,Poltergeist,Poltergeist,2015
875,Grudge,The Grudge,2004
876,Grudge,The Grudge 2,2006
877,Grudge,The Grudge 3,2009
878,Grudge,The Grudge,2020
879,Amityville Amityville (Original),The Amityville Horror,1979
880,Amityville Amityville (Original),Amityville II: The Possession,1982
881,Amityville Amityville (Original),Amityville 3-D,1983
882,Amityville Amityville (Original),The Amityville Horror,2005
883,Amityville Amityville (Original),Amityville: The Awakening,2017
884,RoboCop RoboCop Trilogy,RoboCop,1987
885,RoboCop RoboCop Trilogy,Robocop 2,1990
886,RoboCop RoboCop Trilogy,RoboCop 3,1993
887,RoboCop RoboCop Trilogy,RoboCop,2014
888,Porky's,Porky's,1982
889,Porky's,Porky's II: The Next Day,1983
890,Porky's,Porky's Revenge   (aka Porky's 3),1985
891,Cheech & Chong,Cheech & Chong's Up in Smoke,1978
892,Cheech & Chong,Cheech and Chong's Next Movie,1980
893,Cheech & Chong,Nice Dreams,1981
894,Cheech & Chong,Things Are Tough All Over,1982
895,Cheech & Chong,Still Smokin,1983
896,Cheech & Chong,Cheech & Chong's The Corsican Brothers,1984
897,The Omen The Omen (Original),The Omen,1976
898,The Omen The Omen (Original),Damien: Omen II,1978
899,The Omen The Omen (Original),The Final Conflict   (aka Omen III),1981
900,The Omen The Omen (Original),The Omen,2006
901,The Omen The Omen (Original),Omen IV: The Awakening,1991
902,Alex Cross,Kiss the Girls,1997
903,Alex Cross,Along Came a Spider,2001
904,Alex Cross,Alex Cross,2012
905,Hellboy,Hellboy,2004
906,Hellboy,Hellboy II: The Golden Army,2008
907,Hellboy,Hellboy,2019
908,Child's Play (aka Chucky),Child's Play,1988
909,Child's Play (aka Chucky),Child's Play 2,1990
910,Child's Play (aka Chucky),Child's Play 3,1991
911,Child's Play (aka Chucky),Bride of Chucky,1998
912,Child's Play (aka Chucky),Seed of Chucky,2004
913,Child's Play (aka Chucky),Child's Play,2019
914,Mortal Kombat,Mortal Kombat,1995
915,Mortal Kombat,Mortal Kombat: Annihilation,1997
916,Mortal Kombat,Mortal Kombat,2021
917,Evil Dead (Reboot),The Evil Dead,1981
918,Evil Dead (Reboot),Evil Dead II: Dead by Dawn,1987
919,Evil Dead (Reboot),Army of Darkness,1993
920,Evil Dead (Reboot),Evil Dead,2013
921,Evil Dead (Reboot),Evil Dead Rise,2023
922,Arthur Arthur (Original),Arthur,1981
923,Arthur Arthur (Original),Arthur 2: On the Rocks,1988
924,Arthur Arthur (Original),Arthur,2011
925,Riddick (The Chronicles of Riddick),Pitch Black,2000
926,Riddick (The Chronicles of Riddick),The Chronicles of Riddick,2004
927,Riddick (The Chronicles of Riddick),Riddick,2013
928,Bridget Jones,Bridget Jones's Diary,2001
929,Bridget Jones,Bridget Jones: The Edge of Reason,2004
930,Bridget Jones,Bridget Jones's Baby,2016
931,Peter Pan (Disney),Peter Pan,1953
932,Peter Pan (Disney),Peter Pan II: Return to Neverland,2002
933,Peter Pan (Disney),Hook,1991
934,Peter Pan (Disney),Peter Pan,2003
935,Peter Pan (Disney),Finding Neverland,2004
936,Peter Pan (Disney),Pan,2015
937,Peter Pan (Disney),Peter Pan and Wendy,2023
938,Power Rangers,Mighty Morphin' Power Rangers The Movie,1995
939,Power Rangers,Turbo: A Power Rangers Movie,1997
940,Power Rangers,Power Rangers,2017
941,Power Rangers,Mighty Morphin Power Rangers: Once & Always   (TV),2023
942,The Mighty Ducks,The Mighty Ducks,1992
943,The Mighty Ducks,D2: The Mighty Ducks,1994
944,The Mighty Ducks,D3: The Mighty Ducks,1996
945,Friday,Friday,1995
946,Friday,Next Friday,2000
947,Friday,Friday After Next,2002
948,Why Did I Get Married?,(Tyler Perry's) Why Did I Get Married?,2007
949,Why Did I Get Married?,(Tyler Perry's) Why Did I Get Married Too?,2010
950,Transporter,The Transporter,2002
951,Transporter,Transporter 2,2005
952,Transporter,Transporter 3,2008
953,Transporter,The Transporter Refueled,2015
954,Shaft,Shaft,1971
955,Shaft,Shaft's Big Score!,1972
956,Shaft,Shaft in Africa,1973
957,Shaft,Shaft,2000
958,Shaft,Shaft,2019
959,I Know What You Did Last Summer,I Know What You Did Last Summer,1997
960,I Know What You Did Last Summer,I Still Know What You Did Last Summer,1998
961,Free Willy,Free Willy,1993
962,Free Willy,Free Willy 2: The Adventure Home,1995
963,Free Willy,Free Willy 3: The Rescue,1997
964,Beethoven,Beethoven,1992
965,Beethoven,Beethoven's 2nd,1993
966,View Askewniverse (and More),Clerks,1994
967,View Askewniverse (and More),Mallrats,1995
968,View Askewniverse (and More),Chasing Amy,1997
969,View Askewniverse (and More),Dogma,1999
970,View Askewniverse (and More),Jay and Silent Bob Strike Back,2001
971,View Askewniverse (and More),Clerks II,2006
972,View Askewniverse (and More),Jay and Silent Bob Reboot,2019
973,PAW Patrol,PAW Patrol: The Movie,2021
974,PAW Patrol,PAW Patrol: The Mighty Movie,2023
975,Best Man,The Best Man,1999
976,Best Man,The Best Man Holiday,2013
977,Garfield,Garfield: The Movie,2004
978,Garfield,Garfield: A Tail of Two Kitties,2006
979,Witch Mountain Witch Mountain (Original),Escape to Witch Mountain,1975
980,Witch Mountain Witch Mountain (Original),Return from Witch Mountain,1978
981,Witch Mountain Witch Mountain (Original),Race to Witch Mountain,2009
982,Psycho,Psycho,1960
983,Psycho,Psycho II,1983
984,Psycho,Psycho III,1986
985,Psycho,Psycho,1998
986,Anaconda,Anaconda,1997
987,Anaconda,Anacondas: The Hunt for the Blood Orchid,2004
988,Benji,Benji,1974
989,Benji,For the Love of Benji,1977
990,Benji,Oh! Heavenly Dog,1980
991,Benji,Benji the Hunted,1987
992,Benji,Benji: Off the Leash!,2004
993,Benji,Benji,2018
994,Ernest,Ernest Goes to Camp,1987
995,Ernest,Ernest Saves Christmas,1988
996,Ernest,Ernest Goes to Jail,1990
997,Ernest,Ernest Scared Stupid,1991
998,Ernest,Ernest Rides Again,1993
999,Conan,Conan the Barbarian,1982
1000,Conan,Conan the Destroyer,1984
1001,Conan,Conan the Barbarian,2011
1002,Harold and Kumar,Harold and Kumar Go to White Castle,2004
1003,Harold and Kumar,Harold and Kumar Escape from Guantanamo Bay,2008
1004,Harold and Kumar,A Very Harold & Kumar 3D Christmas,2011
1005,The Bad News Bears The Bad News Bears (Original),The Bad News Bears,1976
1006,The Bad News Bears The Bad News Bears (Original),The Bad News Bears in Breaking Training,1977
1007,The Bad News Bears The Bad News Bears (Original),The Bad News Bears Go to Japan,1978
1008,The Bad News Bears The Bad News Bears (Original),Bad News Bears,2005
1009,God's Not Dead,God's Not Dead,2014
1010,God's Not Dead,God's Not Dead 2,2016
1011,God's Not Dead,God's Not Dead: A Light in Darkness,2018
1012,Major League,Major League,1989
1013,Major League,Major League II,1994
1014,Major League,Major League: Back to the Minors,1998
1015,El Mariachi,El Mariachi,1992
1016,El Mariachi,Desperado,1995
1017,El Mariachi,Once Upon a Time in Mexico,2003
1018,Bill & Ted,Bill & Ted's Excellent Adventure,1989
1019,Bill & Ted,Bill & Ted's Bogus Journey,1991
1020,Bill & Ted,Bill & Ted Face the Music,2020
1021,Species,Species,1995
1022,Species,Species II,1998
1023,Species,Species III,2004
1024,Species,Species - The Awakening   (aka Species IV) (video),2007
1025,"Oh, God!","Oh, God!",1977
1026,"Oh, God!","Oh, God! Book II",1980
1027,"Oh, God!","Oh, God! You Devil",1984
1028,Jeepers Creepers,Jeepers Creepers,2001
1029,Jeepers Creepers,Jeepers Creepers II,2003
1030,Jeepers Creepers,Jeepers Creepers 3,2017
1031,House Party,House Party,1990
1032,House Party,House Party 2: The Pajama Jam!,1991
1033,House Party,House Party 3,1994
1034,Three Flavours Cornetto (Trilogy,Shaun of the Dead,2004
1035,Three Flavours Cornetto (Trilogy,Hot Fuzz,2007
1036,Three Flavours Cornetto (Trilogy,The World's End,2013
1037,Lake Placid,Lake Placid,1999
1038,Lake Placid,Lake Placid 2,2007
1039,Lake Placid,Lake Placid 3,2010
1040,Lake Placid,Lake Placid: The Final Chapter   (aka Lake Placid 4),2012
1041,Man With No Name (or Dollars Trilogy),Fistful of Dollars,1964
1042,Man With No Name (or Dollars Trilogy),For a Few Dollars More,1965
1043,Man With No Name (or Dollars Trilogy),"Il Buono, Il Brutto, Il Cattivo",1966
1044,DragonHeart,DragonHeart,1996
1045,DragonHeart,"Dragonheart: A New Beginning   (aka DragonHeart
          II)",2000
1046,DragonHeart,DragonHeart 3: The Sorcerer's Curse,2015
1047,Meatballs (Original),Meatballs,1979
1048,Meatballs (Original),Meatballs Part II,1984
1049,Meatballs (Original),Meatballs III: Summer Job,1986
1050,Meatballs (Original),Meatballs 4: To the Rescue,1992
1051,Hellraiser,Hellraiser,1987
1052,Hellraiser,Hellbound: Hellraiser II,1988
1053,Hellraiser,Hellraiser III: Hell on Earth,1992
1054,Hellraiser,Hellraiser: Bloodline,1996
1055,Hellraiser,Hellraiser: Inferno,2000
1056,Hellraiser,Hellraiser: Hellseeker,2002
1057,Hellraiser,Hellraiser: Deader,2005
1058,Hellraiser,Hellraiser: Hellworld,2005
1059,Hellraiser,Hellraiser: Revelations,2011
1060,Hellraiser,Hellraiser: Judgment,2018
1061,Hellraiser,Hellraiser,2022
1062,Universal Soldier,Universal Soldier,1992
1063,Universal Soldier,Universal Soldier: The Return,1999
1064,Universal Soldier,Universal Soldier: Regeneration,2009
1065,Universal Soldier,Universal Soldier: Day of Reckoning,2012
1066,Highlander,Highlander,1986
1067,Highlander,Highlander II: The Quickening,1991
1068,Highlander,Highlander: The Final Dimension,1994
1069,Highlander,Highlander: Endgame,2000
1070,Fright Night,Fright Night,1985
1071,Fright Night,Fright Night Part 2,1988
1072,Fright Night,Fright Night,2011
1073,Fright Night,(does not include Fright Night 2: New Blood   (video)),2013
1074,"George Romero's ""Dead""",Night of the Living Dead,1968
1075,"George Romero's ""Dead""",Dawn of the Dead,1978
1076,"George Romero's ""Dead""",Day of the Dead,1985
1077,"George Romero's ""Dead""",Land of the Dead,2005
1078,"George Romero's ""Dead""",Diary of the Dead,2007
1079,"George Romero's ""Dead""",Survival of the Dead,2009
1080,3 Ninjas,3 Ninjas,1992
1081,3 Ninjas,3 Ninjas Kick Back,1994
1082,3 Ninjas,3 Ninjas Knuckle Up,1995
1083,3 Ninjas,3 Ninjas: High Noon at Mega Mountain,1998
1084,Johnny English,Johnny English,2003
1085,Johnny English,Johnny English Reborn,2011
1086,Johnny English,Johnny English Strikes Again,2018
1087,Missing in Action,Missing in Action,1984
1088,Missing in Action,Missing in Action 2: The Beginning,1985
1089,Missing in Action,Braddock: Missing in Action III,1988
1090,Monty Python,And Now for Something Completely Different,1971
1091,Monty Python,Monty Python and the Holy Grail,1975
1092,Monty Python,Life of Brian,1979
1093,Monty Python,Monty Python Live at the Hollywood Bowl,1982
1094,Monty Python,The Meaning of Life,1983
1095,The NeverEnding Story,The NeverEnding Story,1984
1096,The NeverEnding Story,The Neverending Story II: The Next Chapter,1990
1097,The NeverEnding Story,The Neverending Story III: Escape From Fantasia,1994
1098,Iron Eagle (Original),Iron Eagle,1986
1099,Iron Eagle (Original),Iron Eagle II,1988
1100,Iron Eagle (Original),Aces: Iron Eagle III,1992
1101,Iron Eagle (Original),Iron Eagle on the Attack   (aka Iron Eagle IV),1995
1102,Care Bears,The Care Bears Movie,1985
1103,Care Bears,Care Bears Movie II: A New Generation,1986
1104,Care Bears,The Care Bears Adventure in Wonderland,1987
1105,Return of the Living Dead,The Return of the Living Dead,1985
1106,Return of the Living Dead,Return of the Living Dead Part II,1988
1107,Return of the Living Dead,Return of the Living Dead III,1993
1108,Return of the Living Dead,Return of the Living Dead: Necropolis,2005
1109,Return of the Living Dead,Return of the Living Dead: Rave to the Grave,2005
1110,Millennium Trilogy,The Girl with the Dragon Tattoo,2009
1111,Millennium Trilogy,The Girl Who Played With Fire,2009
1112,Millennium Trilogy,The Girl Who Kicked the Hornet's Nest,2009
1113,Before Trilogy,Before Sunrise,1995
1114,Before Trilogy,Before Sunset,2004
1115,Before Trilogy,Before Midnight,2013
1116,Phantasm,Phantasm,1979
1117,Phantasm,Phantasm II,1988
1118,Phantasm,Phantasm III: Lord of the Dead,1994
1119,Phantasm,Phantasm IV: Oblivion,1998
1120,Phantasm,Phantasm: Ravager,2016
1121,Critters,Critters,1986
1122,Critters,Critters 2: The Main Course,1988
1123,Critters,Critters 3,1991
1124,Critters,Critters 4,1992
1125,American Ninja (Warrior),American Ninja,1985
1126,American Ninja (Warrior),American Ninja 2: The Confrontation,1987
1127,American Ninja (Warrior),American Ninja 3: Blood Hunt,1989
1128,American Ninja (Warrior),American Ninja 4: The Annihilation,1990
1129,American Ninja (Warrior),American Ninja 5   (unofficial entry),1993
1130,Dhoom,Dhoom,2004
1131,Dhoom,Dhoom 2,2006
1132,Dhoom,Dhoom 3,2013
1133,Atlas Shrugged,Atlas Shrugged,2011
1134,Atlas Shrugged,Atlas Shrugged II: The Strike,2012
1135,Atlas Shrugged,Atlas Shrugged III: Who Is John Galt?,2014
1136,Trois Couleurs (Three Colors),Trois Couleurs: Bleu,1993
1137,Trois Couleurs (Three Colors),Trois Couleurs: Blanc,1994
1138,Trois Couleurs (Three Colors),Trois Couleurs: Rouge,1994
1139,The Trip,The Trip,2010
1140,The Trip,The Trip to Italy,2014
1141,The Trip,The Trip to Spain,2017
1142,Ip Man (Original),Ip Man,2008
1143,Ip Man (Original),Ip Man 2,2011
1144,Ip Man (Original),Ip Man 3,2015
1145,Ip Man (Original),Ip Man 4,2019
1146,Ip Man (Original),Master Z: Ip Man Legacy,2018
1147,Ip Man (Original),The Legend Is Born: Ip Man,2010
1148,Ip Man (Original),Ip Man: The Final Fight,2013
